file_name,split,sentenceLevel,word_index,text,singLabel,part_of_speech_simple,part_of_speech_detailed,syntatic_dependency,shape,is_alpha,is_stop,region_id,bb,label,category,bb_level,re_mentions_count,is_re_mentioned,first_remention_sentence_level,first_remention_word_index,total_word_count
ADE_train_00011096.jpg,training,1,0,The,the,DET,DT,det,Xxx,True,True,,,,living_room,0,7.0,True,1.0,0.0,34.0
ADE_train_00011096.jpg,training,1,1,image,image,NOUN,NN,nsubj,xxxx,True,False,,,,living_room,0,1.0,False,,,34.0
ADE_train_00011096.jpg,training,1,2,shows,show,VERB,VBZ,ROOT,xxxx,True,False,,,,living_room,0,1.0,False,,,34.0
ADE_train_00011096.jpg,training,1,3,a,a,DET,DT,det,x,True,True,,,,living_room,0,1.0,False,,,34.0
ADE_train_00011096.jpg,training,1,4,living,living,NOUN,NN,amod,xxxx,True,False,,,,living_room,0,2.0,True,1.0,4.0,34.0
ADE_train_00011096.jpg,training,1,5,room,room,NOUN,NN,dobj,xxxx,True,False,,,,living_room,0,3.0,True,1.0,5.0,34.0
ADE_train_00011096.jpg,training,1,6,.,.,PUNCT,.,punct,.,False,False,,,,living_room,0,5.0,True,1.0,6.0,34.0
ADE_train_00011096.jpg,training,2,0,There,there,PRON,EX,expl,Xxxxx,True,True,,,,living_room,0,1.0,False,,,34.0
ADE_train_00011096.jpg,training,2,1,are,be,VERB,VBP,ROOT,xxx,True,True,,,,living_room,0,4.0,True,2.0,1.0,34.0
ADE_train_00011096.jpg,training,2,2,two,two,NUM,CD,nummod,xxx,True,True,,,,living_room,0,1.0,False,,,34.0
ADE_train_00011096.jpg,training,2,3,bookshelves,bookshelf,NOUN,NNS,attr,xxxx,True,False,5.0,"[42, 235, 760, 1427]",5: bookcase,living_room,0,1.0,False,,,34.0
ADE_train_00011096.jpg,training,2,4,in,in,ADP,IN,prep,xx,True,True,,,,living_room,0,2.0,True,2.0,4.0,34.0
ADE_train_00011096.jpg,training,2,5,the,the,DET,DT,det,xxx,True,True,,,,living_room,0,7.0,True,1.0,0.0,34.0
ADE_train_00011096.jpg,training,2,6,living,living,NOUN,NN,compound,xxxx,True,False,,,,living_room,0,2.0,True,1.0,4.0,34.0
ADE_train_00011096.jpg,training,2,7,room,room,NOUN,NN,pobj,xxxx,True,False,,,,living_room,0,3.0,True,1.0,5.0,34.0
ADE_train_00011096.jpg,training,2,8,.,.,PUNCT,.,punct,.,False,False,,,,living_room,0,5.0,True,1.0,6.0,34.0
ADE_train_00011096.jpg,training,3,0,The,the,DET,DT,det,Xxx,True,True,,,,living_room,0,7.0,True,1.0,0.0,34.0
ADE_train_00011096.jpg,training,3,1,couch,couch,NOUN,NN,nsubj,xxxx,True,False,11.0,"[1576, 1421, 1009, 519]",11: sofa,living_room,0,1.0,False,,,34.0
